Rollno,cent_allot,cent_add,examDate,batch,rep_time
NL2000047,KRS,NIELIT KRS,07-09-2023,2,2:00 PM
NL2000048,KRS,NIELIT KRS,15-09-2023,1,9:00 AM
NL2000049,KRS,NIELIT KRS,09-09-2023,1,9:00 AM
NL2000050,KRS,NIELIT KRS,10-09-2023,2,2:00 PM
NL2000051,KRS,NIELIT KRS,27-09-2023,1,9:00 AM
NL2000052,KRS,NIELIT KRS,09-09-2023,2,2:00 PM
NL2000053,KRS,NIELIT KRS,26-09-2023,2,2:00 PM
NL2000054,KRS,NIELIT KRS,16-09-2023,2,2:00 PM
NL2000055,KRS,NIELIT KRS,09-09-2023,2,2:00 PM
NL2000056,KRS,NIELIT KRS,12-09-2023,1,9:00 AM
NL2000057,KRS,NIELIT KRS,27-09-2023,2,2:00 PM
NL2000058,KRS,NIELIT KRS,01-09-2023,2,2:00 PM
NL2000059,KRS,NIELIT KRS,30-09-2023,2,2:00 PM
NL2000060,KRS,NIELIT KRS,13-09-2023,1,9:00 AM
NL2000061,KRS,NIELIT KRS,16-09-2023,2,2:00 PM
NL2000062,KRS,NIELIT KRS,30-09-2023,2,2:00 PM
NL2000063,KRS,NIELIT KRS,12-09-2023,1,9:00 AM
NL2000064,KRS,NIELIT KRS,07-09-2023,1,9:00 AM
NL2000065,KRS,NIELIT KRS,11-09-2023,1,9:00 AM
NL2000066,KRS,NIELIT KRS,11-09-2023,1,9:00 AM
NL2000067,MAHB,NIELIT MAHB,15-09-2023,2,2:00 PM
NL2000068,MAHB,NIELIT MAHB,06-09-2023,1,9:00 AM
NL2000069,MAHB,NIELIT MAHB,10-09-2023,1,9:00 AM
NL2000070,MAHB,NIELIT MAHB,04-09-2023,1,9:00 AM
NL2000071,MAHB,NIELIT MAHB,04-09-2023,1,9:00 AM
NL2000072,MAHB,NIELIT MAHB,07-09-2023,1,9:00 AM
NL2000073,MAHB,NIELIT MAHB,05-09-2023,2,2:00 PM
NL2000074,MAHB,NIELIT MAHB,09-09-2023,1,9:00 AM
NL2000075,MAHB,NIELIT MAHB,05-09-2023,1,9:00 AM
NL2000076,MAHB,NIELIT MAHB,24-09-2023,1,9:00 AM
NL2000077,PRA,NIELIT PRA,16-09-2023,2,2:00 PM
NL2000078,KUN,NIELIT KUN,05-09-2023,2,2:00 PM
NL2000079,PRA,NIELIT PRA,22-09-2023,2,2:00 PM
NL2000080,PRA,NIELIT PRA,30-09-2023,2,2:00 PM
NL2000081,PRA,NIELIT PRA,01-09-2023,1,9:00 AM
NL2000082,PRA,NIELIT PRA,24-09-2023,1,9:00 AM
NL2000083,PRA,NIELIT PRA,13-09-2023,1,9:00 AM
NL2000084,PRA,NIELIT PRA,18-09-2023,2,2:00 PM
NL2000085,PRA,NIELIT PRA,09-09-2023,2,2:00 PM
NL2000086,PRA,NIELIT PRA,05-09-2023,2,2:00 PM
NL2000087,PRA,NIELIT PRA,08-09-2023,1,9:00 AM
NL2000088,PRA,NIELIT PRA,13-09-2023,1,9:00 AM
NL2000089,PRA,NIELIT PRA,05-09-2023,1,9:00 AM
NL2000090,PRA,NIELIT PRA,20-09-2023,2,2:00 PM
NL2000091,PRA,NIELIT PRA,02-09-2023,1,9:00 AM
NL2000092,EGOD,NIELIT EGOD,23-09-2023,1,9:00 AM
NL2000093,EGOD,NIELIT EGOD,03-09-2023,1,9:00 AM
NL2000094,EGOD,NIELIT EGOD,20-09-2023,1,9:00 AM
NL2000095,EGOD,NIELIT EGOD,09-09-2023,2,2:00 PM
NL2000096,EGOD,NIELIT EGOD,14-09-2023,2,2:00 PM
NL2000097,EGOD,NIELIT EGOD,22-09-2023,2,2:00 PM
NL2000098,EGOD,NIELIT EGOD,24-09-2023,1,9:00 AM
NL2000099,EGOD,NIELIT EGOD,24-09-2023,2,2:00 PM
NL2000100,EGOD,NIELIT EGOD,02-09-2023,1,9:00 AM
NL2000101,EGOD,NIELIT EGOD,18-09-2023,2,2:00 PM
NL2000102,EGOD,NIELIT EGOD,08-09-2023,1,9:00 AM
NL2000103,EGOD,NIELIT EGOD,25-09-2023,1,9:00 AM
NL2000104,EGOD,NIELIT EGOD,30-09-2023,1,9:00 AM
NL2000105,EGOD,NIELIT EGOD,15-09-2023,1,9:00 AM
NL2000106,EGOD,NIELIT EGOD,01-09-2023,1,9:00 AM
NL2000107,EGOD,NIELIT EGOD,12-09-2023,2,2:00 PM
NL2000108,EGOD,NIELIT EGOD,09-09-2023,2,2:00 PM
NL2000109,EGOD,NIELIT EGOD,24-09-2023,2,2:00 PM
NL2000110,EGOD,NIELIT EGOD,19-09-2023,2,2:00 PM
NL2000111,EGOD,NIELIT EGOD,11-09-2023,2,2:00 PM
NL2000112,EGOD,NIELIT EGOD,06-09-2023,2,2:00 PM
NL2000113,EGOD,NIELIT EGOD,11-09-2023,2,2:00 PM
NL2000114,EGOD,NIELIT EGOD,07-09-2023,1,9:00 AM
NL2000115,GUN,NIELIT GUN,20-09-2023,2,2:00 PM
NL2000116,KPM,NIELIT KPM,01-09-2023,1,9:00 AM
NL2000117,KPM,NIELIT KPM,15-09-2023,1,9:00 AM
NL2000118,KPM,NIELIT KPM,07-09-2023,1,9:00 AM
NL2000119,KPM,NIELIT KPM,10-09-2023,2,2:00 PM
NL2000120,KPM,NIELIT KPM,05-09-2023,2,2:00 PM
NL2000121,KPM,NIELIT KPM,13-09-2023,1,9:00 AM
NL2000122,PRA,NIELIT PRA,09-09-2023,2,2:00 PM
NL2000123,KPM,NIELIT KPM,18-09-2023,1,9:00 AM
NL2000124,KPM,NIELIT KPM,12-09-2023,2,2:00 PM
NL2000125,KPM,NIELIT KPM,09-09-2023,1,9:00 AM
NL2000126,KPM,NIELIT KPM,28-09-2023,2,2:00 PM
NL2000127,KPM,NIELIT KPM,30-09-2023,1,9:00 AM
NL2000128,KPM,NIELIT KPM,29-09-2023,2,2:00 PM
NL2000129,KPM,NIELIT KPM,12-09-2023,1,9:00 AM
NL2000130,WGL,NIELIT WGL,23-09-2023,1,9:00 AM
NL2000131,KARN,NIELIT KARN,09-09-2023,1,9:00 AM
NL2000132,KARN,NIELIT KARN,22-09-2023,2,2:00 PM
NL2000133,GUN,NIELIT GUN,14-09-2023,1,9:00 AM
NL2000134,GUN,NIELIT GUN,16-09-2023,2,2:00 PM
NL2000135,PRA,NIELIT PRA,12-09-2023,1,9:00 AM
NL2000136,PRA,NIELIT PRA,21-09-2023,2,2:00 PM
NL2000137,TRI,NIELIT TRI,26-09-2023,2,2:00 PM
NL2000138,TRI,NIELIT TRI,28-09-2023,2,2:00 PM
NL2000139,PRA,NIELIT PRA,27-09-2023,1,9:00 AM
NL2000140,PRA,NIELIT PRA,14-09-2023,1,9:00 AM
NL2000141,NALG,NIELIT NALG,14-09-2023,1,9:00 AM
NL2000142,NALG,NIELIT NALG,17-09-2023,1,9:00 AM
NL2000143,MAHB,NIELIT MAHB,07-09-2023,1,9:00 AM
NL2000144,NALG,NIELIT NALG,07-09-2023,1,9:00 AM
NL2000145,NALG,NIELIT NALG,02-09-2023,2,2:00 PM
NL2000146,MAHB,NIELIT MAHB,27-09-2023,2,2:00 PM
NL2000147,MAHB,NIELIT MAHB,15-09-2023,1,9:00 AM
NL2000148,GUN,NIELIT GUN,27-09-2023,1,9:00 AM
NL2000149,GUN,NIELIT GUN,13-09-2023,2,2:00 PM
NL2000150,MAHB,NIELIT MAHB,19-09-2023,1,9:00 AM
NL2000151,MAHB,NIELIT MAHB,19-09-2023,2,2:00 PM
NL2000152,GUN,NIELIT GUN,21-09-2023,2,2:00 PM
NL2000153,GUN,NIELIT GUN,12-09-2023,1,9:00 AM
NL2000154,GUN,NIELIT GUN,08-09-2023,2,2:00 PM
NL2000155,GUN,NIELIT GUN,08-09-2023,2,2:00 PM
NL2000156,TRI,NIELIT TRI,11-09-2023,2,2:00 PM
NL2000157,MAHB,NIELIT MAHB,07-09-2023,1,9:00 AM
NL2000158,MAHB,NIELIT MAHB,21-09-2023,2,2:00 PM
NL2000159,PRA,NIELIT PRA,06-09-2023,1,9:00 AM
NL2000160,TRI,NIELIT TRI,23-09-2023,1,9:00 AM
NL2000161,PRA,NIELIT PRA,21-09-2023,2,2:00 PM
NL2000162,TRI,NIELIT TRI,09-09-2023,1,9:00 AM
NL2000163,PRA,NIELIT PRA,04-09-2023,1,9:00 AM
NL2000164,MAHB,NIELIT MAHB,06-09-2023,2,2:00 PM
NL2000165,MAHB,NIELIT MAHB,21-09-2023,2,2:00 PM
NL2000166,TRI,NIELIT TRI,29-09-2023,2,2:00 PM
NL2000167,PRA,NIELIT PRA,29-09-2023,2,2:00 PM
NL2000168,TRI,NIELIT TRI,12-09-2023,1,9:00 AM
NL2000169,PRA,NIELIT PRA,14-09-2023,1,9:00 AM
NL2000170,TRI,NIELIT TRI,17-09-2023,1,9:00 AM
NL2000171,TRI,NIELIT TRI,28-09-2023,2,2:00 PM
NL2000172,TRI,NIELIT TRI,15-09-2023,1,9:00 AM
NL2000173,TRI,NIELIT TRI,21-09-2023,1,9:00 AM
NL2000174,TRI,NIELIT TRI,06-09-2023,1,9:00 AM
NL2000175,KARN,NIELIT KARN,13-09-2023,2,2:00 PM
NL2000176,GUN,NIELIT GUN,01-09-2023,2,2:00 PM
NL2000177,GUN,NIELIT GUN,02-09-2023,1,9:00 AM
NL2000178,GUN,NIELIT GUN,28-09-2023,1,9:00 AM
NL2000179,KARN,NIELIT KARN,11-09-2023,2,2:00 PM
NL2000180,GUN,NIELIT GUN,26-09-2023,1,9:00 AM
NL2000181,WGL,NIELIT WGL,21-09-2023,1,9:00 AM
NL2000182,TRI,NIELIT TRI,18-09-2023,1,9:00 AM
NL2000183,TRI,NIELIT TRI,24-09-2023,2,2:00 PM
NL2000184,GUN,NIELIT GUN,27-09-2023,2,2:00 PM
NL2000185,WGL,NIELIT WGL,20-09-2023,2,2:00 PM
NL2000186,TRI,NIELIT TRI,03-09-2023,2,2:00 PM
NL2000187,TRI,NIELIT TRI,29-09-2023,2,2:00 PM
NL2000188,TRI,NIELIT TRI,28-09-2023,2,2:00 PM
NL2000189,TRI,NIELIT TRI,04-09-2023,1,9:00 AM
NL2000190,TRI,NIELIT TRI,12-09-2023,1,9:00 AM
NL2000191,TRI,NIELIT TRI,04-09-2023,2,2:00 PM
NL2000192,TRI,NIELIT TRI,25-09-2023,1,9:00 AM
NL2000193,TRI,NIELIT TRI,14-09-2023,1,9:00 AM
NL2000194,TRI,NIELIT TRI,05-09-2023,1,9:00 AM
NL2000195,TRI,NIELIT TRI,06-09-2023,1,9:00 AM
NL2000196,TRI,NIELIT TRI,25-09-2023,2,2:00 PM
NL2000197,TRI,NIELIT TRI,14-09-2023,2,2:00 PM
NL2000198,TRI,NIELIT TRI,25-09-2023,2,2:00 PM
NL2000199,ANA,NIELIT ANA,05-09-2023,2,2:00 PM
NL2000200,GUN,NIELIT GUN,17-09-2023,2,2:00 PM
NL2000201,VIZI,NIELIT VIZI,19-09-2023,1,9:00 AM
NL2000202,VIZI,NIELIT VIZI,01-09-2023,1,9:00 AM
NL2000203,VIZI,NIELIT VIZI,25-09-2023,1,9:00 AM
NL2000204,VIZI,NIELIT VIZI,02-09-2023,1,9:00 AM
NL2000205,VIZI,NIELIT VIZI,24-09-2023,1,9:00 AM
NL2000206,VIZI,NIELIT VIZI,23-09-2023,2,2:00 PM
NL2000207,VIZI,NIELIT VIZI,13-09-2023,1,9:00 AM
NL2000208,VIZI,NIELIT VIZI,06-09-2023,1,9:00 AM
NL2000209,VIZI,NIELIT VIZI,30-09-2023,1,9:00 AM
NL2000210,VIZI,NIELIT VIZI,19-09-2023,2,2:00 PM
NL2000211,VIZI,NIELIT VIZI,02-09-2023,2,2:00 PM
NL2000212,VIZI,NIELIT VIZI,06-09-2023,2,2:00 PM
NL2000213,VIZI,NIELIT VIZI,05-09-2023,1,9:00 AM
NL2000214,VIZI,NIELIT VIZI,28-09-2023,2,2:00 PM
NL2000215,VIZI,NIELIT VIZI,03-09-2023,1,9:00 AM
NL2000216,VIZI,NIELIT VIZI,18-09-2023,2,2:00 PM
NL2000217,VIZI,NIELIT VIZI,10-09-2023,2,2:00 PM
NL2000218,VIZI,NIELIT VIZI,21-09-2023,2,2:00 PM
NL2000219,VIZI,NIELIT VIZI,19-09-2023,2,2:00 PM
NL2000220,VIZI,NIELIT VIZI,03-09-2023,1,9:00 AM
NL2000221,VIZI,NIELIT VIZI,28-09-2023,1,9:00 AM
NL2000222,VIZI,NIELIT VIZI,22-09-2023,1,9:00 AM
NL2000223,VIZI,NIELIT VIZI,15-09-2023,2,2:00 PM
NL2000224,VIZI,NIELIT VIZI,20-09-2023,2,2:00 PM
NL2000225,VIZI,NIELIT VIZI,18-09-2023,2,2:00 PM
NL2000226,VIZI,NIELIT VIZI,16-09-2023,1,9:00 AM
NL2000227,VIZI,NIELIT VIZI,25-09-2023,1,9:00 AM
NL2000228,VIZI,NIELIT VIZI,15-09-2023,2,2:00 PM
NL2000229,VIZI,NIELIT VIZI,30-09-2023,2,2:00 PM
NL2000230,VIZI,NIELIT VIZI,09-09-2023,1,9:00 AM
NL2000231,VIZI,NIELIT VIZI,29-09-2023,1,9:00 AM
NL2000232,VIZI,NIELIT VIZI,22-09-2023,1,9:00 AM
NL2000233,VIZI,NIELIT VIZI,15-09-2023,2,2:00 PM
NL2000234,VIZI,NIELIT VIZI,11-09-2023,2,2:00 PM
NL2000235,VIZI,NIELIT VIZI,18-09-2023,2,2:00 PM
NL2000236,VIZI,NIELIT VIZI,18-09-2023,1,9:00 AM
NL2000237,VIZI,NIELIT VIZI,25-09-2023,2,2:00 PM
NL2000238,VIZI,NIELIT VIZI,03-09-2023,1,9:00 AM
NL2000239,VIZI,NIELIT VIZI,01-09-2023,1,9:00 AM
NL2000240,VIZI,NIELIT VIZI,20-09-2023,1,9:00 AM
NL2000241,VIZI,NIELIT VIZI,26-09-2023,2,2:00 PM
NL2000242,VIZI,NIELIT VIZI,28-09-2023,1,9:00 AM
NL2000243,VIZI,NIELIT VIZI,12-09-2023,2,2:00 PM
NL2000244,VIZI,NIELIT VIZI,01-09-2023,1,9:00 AM
NL2000245,VIZI,NIELIT VIZI,24-09-2023,2,2:00 PM
NL2000246,VIZI,NIELIT VIZI,14-09-2023,1,9:00 AM
NL2000247,PRA,NIELIT PRA,05-09-2023,1,9:00 AM
NL2000248,GUN,NIELIT GUN,26-09-2023,2,2:00 PM
NL2000249,KRS,NIELIT KRS,08-09-2023,1,9:00 AM
NL2000250,ANA,NIELIT ANA,01-09-2023,1,9:00 AM
NL2000251,ANA,NIELIT ANA,05-09-2023,1,9:00 AM
NL2000252,KRS,NIELIT KRS,11-09-2023,1,9:00 AM
NL2000253,KRS,NIELIT KRS,08-09-2023,2,2:00 PM
NL2000254,ANA,NIELIT ANA,13-09-2023,2,2:00 PM
NL2000255,KRS,NIELIT KRS,04-09-2023,1,9:00 AM
NL2000256,ANA,NIELIT ANA,17-09-2023,1,9:00 AM
NL2000257,KRS,NIELIT KRS,15-09-2023,1,9:00 AM
NL2000258,ANA,NIELIT ANA,13-09-2023,1,9:00 AM
NL2000259,KRS,NIELIT KRS,06-09-2023,1,9:00 AM
NL2000260,ANA,NIELIT ANA,20-09-2023,1,9:00 AM
NL2000261,EGOD,NIELIT EGOD,21-09-2023,2,2:00 PM
NL2000262,EGOD,NIELIT EGOD,10-09-2023,1,9:00 AM
NL2000263,EGOD,NIELIT EGOD,03-09-2023,1,9:00 AM
NL2000264,EGOD,NIELIT EGOD,26-09-2023,1,9:00 AM
NL2000265,EGOD,NIELIT EGOD,18-09-2023,1,9:00 AM
NL2000266,EGOD,NIELIT EGOD,24-09-2023,1,9:00 AM
NL2000267,EGOD,NIELIT EGOD,11-09-2023,2,2:00 PM
NL2000268,ANA,NIELIT ANA,29-09-2023,1,9:00 AM
NL2000269,ANA,NIELIT ANA,13-09-2023,2,2:00 PM
NL2000270,ANA,NIELIT ANA,05-09-2023,2,2:00 PM
NL2000271,EGOD,NIELIT EGOD,04-09-2023,2,2:00 PM
NL2000272,ANA,NIELIT ANA,22-09-2023,1,9:00 AM
NL2000273,KRS,NIELIT KRS,11-09-2023,1,9:00 AM
NL2000274,EGOD,NIELIT EGOD,06-09-2023,2,2:00 PM
NL2000275,ANA,NIELIT ANA,17-09-2023,2,2:00 PM
NL2000276,EGOD,NIELIT EGOD,12-09-2023,2,2:00 PM
NL2000277,KRS,NIELIT KRS,07-09-2023,1,9:00 AM
NL2000278,EGOD,NIELIT EGOD,19-09-2023,2,2:00 PM
NL2000279,KRS,NIELIT KRS,30-09-2023,1,9:00 AM
NL2000280,EGOD,NIELIT EGOD,01-09-2023,1,9:00 AM
NL2000281,KRS,NIELIT KRS,21-09-2023,1,9:00 AM
NL2000282,KRS,NIELIT KRS,11-09-2023,1,9:00 AM
NL2000283,GUN,NIELIT GUN,22-09-2023,1,9:00 AM
NL2000284,EGOD,NIELIT EGOD,26-09-2023,2,2:00 PM
NL2000285,KRS,NIELIT KRS,09-09-2023,2,2:00 PM
NL2000286,EGOD,NIELIT EGOD,30-09-2023,1,9:00 AM
NL2000287,KRS,NIELIT KRS,22-09-2023,2,2:00 PM
NL2000288,EGOD,NIELIT EGOD,27-09-2023,1,9:00 AM
NL2000289,KRS,NIELIT KRS,22-09-2023,1,9:00 AM
NL2000290,EGOD,NIELIT EGOD,24-09-2023,1,9:00 AM
NL2000291,EGOD,NIELIT EGOD,14-09-2023,2,2:00 PM
NL2000292,KRS,NIELIT KRS,27-09-2023,2,2:00 PM
NL2000293,KRS,NIELIT KRS,07-09-2023,1,9:00 AM
NL2000294,KRS,NIELIT KRS,14-09-2023,1,9:00 AM
NL2000295,KRS,NIELIT KRS,28-09-2023,1,9:00 AM
NL2000296,KRS,NIELIT KRS,01-09-2023,2,2:00 PM
NL2000297,KRS,NIELIT KRS,29-09-2023,1,9:00 AM
NL2000298,KRS,NIELIT KRS,06-09-2023,1,9:00 AM
NL2000299,KRS,NIELIT KRS,15-09-2023,1,9:00 AM
NL2000300,KRS,NIELIT KRS,03-09-2023,1,9:00 AM
NL2000301,WGOD,NIELIT WGOD,04-09-2023,2,2:00 PM
NL2000302,KRS,NIELIT KRS,11-09-2023,2,2:00 PM
NL2000303,KRS,NIELIT KRS,09-09-2023,2,2:00 PM
NL2000304,KRS,NIELIT KRS,16-09-2023,2,2:00 PM
NL2000305,WGOD,NIELIT WGOD,05-09-2023,1,9:00 AM
NL2000306,KRS,NIELIT KRS,08-09-2023,2,2:00 PM
NL2000307,KRS,NIELIT KRS,02-09-2023,2,2:00 PM
NL2000308,KRS,NIELIT KRS,19-09-2023,1,9:00 AM
NL2000309,KRS,NIELIT KRS,18-09-2023,1,9:00 AM
NL2000310,KRS,NIELIT KRS,06-09-2023,1,9:00 AM
NL2000311,KRS,NIELIT KRS,29-09-2023,2,2:00 PM
NL2000312,KRS,NIELIT KRS,14-09-2023,2,2:00 PM
NL2000313,PRA,NIELIT PRA,07-09-2023,1,9:00 AM
NL2000314,KRS,NIELIT KRS,07-09-2023,1,9:00 AM
NL2000315,KRS,NIELIT KRS,11-09-2023,2,2:00 PM
NL2000316,KRS,NIELIT KRS,01-09-2023,2,2:00 PM
NL2000317,KRS,NIELIT KRS,27-09-2023,2,2:00 PM
NL2000318,KRS,NIELIT KRS,19-09-2023,1,9:00 AM
NL2000319,KRS,NIELIT KRS,14-09-2023,1,9:00 AM
NL2000320,KRS,NIELIT KRS,09-09-2023,1,9:00 AM
NL2000321,KRS,NIELIT KRS,01-09-2023,2,2:00 PM
NL2000322,KRS,NIELIT KRS,25-09-2023,2,2:00 PM
NL2000323,KRS,NIELIT KRS,19-09-2023,1,9:00 AM
NL2000324,KRS,NIELIT KRS,13-09-2023,2,2:00 PM
NL2000325,KRS,NIELIT KRS,27-09-2023,1,9:00 AM
NL2000326,KRS,NIELIT KRS,08-09-2023,2,2:00 PM
NL2000327,KRS,NIELIT KRS,09-09-2023,2,2:00 PM
NL2000328,GUN,NIELIT GUN,04-09-2023,2,2:00 PM
NL2000329,GUN,NIELIT GUN,02-09-2023,1,9:00 AM
NL2000330,ANA,NIELIT ANA,13-09-2023,2,2:00 PM
NL2000331,EGOD,NIELIT EGOD,12-09-2023,1,9:00 AM
NL2000332,EGOD,NIELIT EGOD,03-09-2023,2,2:00 PM
NL2000333,EGOD,NIELIT EGOD,22-09-2023,2,2:00 PM
NL2000334,EGOD,NIELIT EGOD,12-09-2023,2,2:00 PM
NL2000335,EGOD,NIELIT EGOD,25-09-2023,2,2:00 PM
NL2000336,EGOD,NIELIT EGOD,11-09-2023,2,2:00 PM
NL2000337,EGOD,NIELIT EGOD,17-09-2023,1,9:00 AM
NL2000338,EGOD,NIELIT EGOD,20-09-2023,2,2:00 PM
NL2000339,EGOD,NIELIT EGOD,01-09-2023,1,9:00 AM
NL2000340,EGOD,NIELIT EGOD,06-09-2023,1,9:00 AM
NL2000341,EGOD,NIELIT EGOD,30-09-2023,2,2:00 PM
NL2000342,EGOD,NIELIT EGOD,24-09-2023,2,2:00 PM
NL2000343,ANA,NIELIT ANA,08-09-2023,2,2:00 PM
NL2000344,ANA,NIELIT ANA,30-09-2023,1,9:00 AM
NL2000345,ANA,NIELIT ANA,19-09-2023,2,2:00 PM
NL2000346,ANA,NIELIT ANA,01-09-2023,2,2:00 PM
NL2000347,ANA,NIELIT ANA,15-09-2023,2,2:00 PM
NL2000348,ANA,NIELIT ANA,13-09-2023,1,9:00 AM
NL2000349,ANA,NIELIT ANA,02-09-2023,1,9:00 AM
NL2000350,EGOD,NIELIT EGOD,02-09-2023,1,9:00 AM
NL2000351,EGOD,NIELIT EGOD,06-09-2023,2,2:00 PM
NL2000352,ANA,NIELIT ANA,18-09-2023,2,2:00 PM
NL2000353,EGOD,NIELIT EGOD,30-09-2023,2,2:00 PM
NL2000354,ANA,NIELIT ANA,24-09-2023,2,2:00 PM
NL2000355,ANA,NIELIT ANA,23-09-2023,2,2:00 PM
NL2000356,ANA,NIELIT ANA,02-09-2023,2,2:00 PM
NL2000357,ANA,NIELIT ANA,26-09-2023,2,2:00 PM
NL2000358,ANA,NIELIT ANA,19-09-2023,1,9:00 AM
NL2000359,ANA,NIELIT ANA,23-09-2023,1,9:00 AM
NL2000360,ANA,NIELIT ANA,06-09-2023,1,9:00 AM
NL2000361,ANA,NIELIT ANA,16-09-2023,1,9:00 AM
NL2000362,PRA,NIELIT PRA,07-09-2023,2,2:00 PM
NL2000363,CTT,NIELIT CTT,04-09-2023,2,2:00 PM
NL2000364,PRA,NIELIT PRA,14-09-2023,1,9:00 AM
NL2000365,PRA,NIELIT PRA,19-09-2023,1,9:00 AM
NL2000366,PRA,NIELIT PRA,02-09-2023,1,9:00 AM
NL2000367,PRA,NIELIT PRA,05-09-2023,2,2:00 PM
NL2000368,PRA,NIELIT PRA,15-09-2023,1,9:00 AM
NL2000369,PRA,NIELIT PRA,16-09-2023,1,9:00 AM
NL2000370,PRA,NIELIT PRA,12-09-2023,2,2:00 PM
NL2000371,PRA,NIELIT PRA,12-09-2023,1,9:00 AM
NL2000372,PRA,NIELIT PRA,05-09-2023,1,9:00 AM
NL2000373,PRA,NIELIT PRA,13-09-2023,2,2:00 PM
NL2000374,PRA,NIELIT PRA,12-09-2023,2,2:00 PM
NL2000375,PRA,NIELIT PRA,21-09-2023,2,2:00 PM
NL2000376,PRA,NIELIT PRA,01-09-2023,1,9:00 AM
NL2000377,VIZ,NIELIT VIZ,05-09-2023,1,9:00 AM
NL2000378,VIZ,NIELIT VIZ,12-09-2023,1,9:00 AM
NL2000379,VIZ,NIELIT VIZ,13-09-2023,1,9:00 AM
NL2000380,VIZ,NIELIT VIZ,16-09-2023,2,2:00 PM
NL2000381,VIZ,NIELIT VIZ,27-09-2023,2,2:00 PM
NL2000382,ANA,NIELIT ANA,10-09-2023,1,9:00 AM
NL2000383,ANA,NIELIT ANA,23-09-2023,1,9:00 AM
NL2000384,ANA,NIELIT ANA,26-09-2023,1,9:00 AM
NL2000385,WGL,NIELIT WGL,29-09-2023,1,9:00 AM
NL2000386,WGL,NIELIT WGL,16-09-2023,1,9:00 AM
NL2000387,WGL,NIELIT WGL,25-09-2023,1,9:00 AM
NL2000388,VIZ,NIELIT VIZ,29-09-2023,1,9:00 AM
NL2000389,WGL,NIELIT WGL,28-09-2023,2,2:00 PM
